"Title","User","Domain","Bot","Comment","Server URL","Full URL"
"Category:PD Old","Mr.Nostalgic","commons.wikimedia.org","false","[[:File:Bruxelles. Les Boulevards du Nord et de la Senne, GP022431 (2).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD Old"
"Category:Postcards in the Leuven University Libraries","Mr.Nostalgic","commons.wikimedia.org","false","[[:File:Bruxelles. Les Boulevards du Nord et de la Senne, GP022431 (2).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Postcards in the Leuven University Libraries"
"Category:Information field template with formatting","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Information field template with formatting"
"Q69771259","KrBot","www.wikidata.org","true","/* wbsetlabel-set:1|sq */ Fertility following tube-saving and ablative surgery of tubal pregnancy--a retrospective analysis of 491 patients","https://www.wikidata.org","https://www.wikidata.org/wiki/Q69771259"
"Category:Media contributed by the Digital Public Library of America","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Media contributed by the Digital Public Library of America"
"Category:Media contributed by the National Archives and Records Administration","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Media contributed by the National Archives and Records Administration"
"File:Am Röth 19 Alling 2014.JPG","SchlurcherBot","commons.wikimedia.org","true","/* wbeditentity-update:0| */ automatically adding [[Commons:Structured data|structured data]] based on file information","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Am Röth 19 Alling 2014.JPG"
"Category:Media contributed by National Archives at College Park - Textual Reference","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Media contributed by National Archives at College Park - Textual Reference"
"Q23117006","VIGNERON","www.wikidata.org","false","/* wbeditentity-update-languages-short:0||nl */ QuickStatements 3.0 [[:toollabs:qs-dev/batch/4378|batch #4378]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q23117006"
"Category:Digital Public Library of America files missing required SDC statements","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Digital Public Library of America files missing required SDC statements"
"ويلهيلم كوپفير","GhalyBot","arz.wikipedia.org","true","/* حياته */ تعديل و تمصير، غير: ]], ← ]].","https://arz.wikipedia.org","https://arz.wikipedia.org/wiki/ويلهيلم كوپفير"
"Category:Digital Public Library of America files missing creator","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Digital Public Library of America files missing creator"
"File:Nl-rijkgevulders.ogg","SchlurcherBot","commons.wikimedia.org","true","/* wbeditentity-update:0| */ automatically modify [[Commons:Structured data|structured data]] based on file information: meta","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Nl-rijkgevulders.ogg"
"קטגוריה:דפים שמשתמשים בהרחבה JsonConfig","Chenspec","he.wikipedia.org","false","הדף [[:החטופים במלחמת חרבות ברזל]] הוסר מהקטגוריה","https://he.wikipedia.org","https://he.wikipedia.org/wiki/קטגוריה:דפים שמשתמשים בהרחבה JsonConfig"
"Category:PD US","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD US"
"File:NDL960551 帝国税法論 part2.pdf","MidleadingBot","commons.wikimedia.org","true","/* wbeditentity-update:0| */","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:NDL960551 帝国税法論 part2.pdf"
"Category:PD-US missing SDC copyright status","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:PD-US missing SDC copyright status"
"Category:Public domain files using NoC-US rights statement","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Public domain files using NoC-US rights statement"
"Category:Artworks without Wikidata item","DPLA bot","commons.wikimedia.org","true","[[:File:Number 505 (Serial 505) - DPLA - 25e3d6b883f748bbc246085089e3a2ea (page 55).jpg]] added to category","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/Category:Artworks without Wikidata item"
"File:Kathivanoor Veeran Theyyam Mambalam, Kannur 0.jpg","Atheenasiji","commons.wikimedia.org","false","/* wbsetclaim-update:2||1 */ [[d:Special:EntityPage/P180]]: [[d:Special:EntityPage/Q16137384]], ([[:toolforge:editgroups-commons/b/CB/34c0bf52513|details]])","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:Kathivanoor Veeran Theyyam Mambalam, Kannur 0.jpg"
"Q69771259","KrBot","www.wikidata.org","true","/* wbsetclaimvalue:1| */ [[Property:P1476]]: Fertility following tube-saving and ablative surgery of tubal pregnancy--a retrospective analysis of 491 patients","https://www.wikidata.org","https://www.wikidata.org/wiki/Q69771259"
"File:CH-KBAR - Ringkämpfer am Eid-e-Ramadan Fest - KB-017528.tif","Uschoen","commons.wikimedia.org","false","/* wbsetclaim-create:2||1 */ [[d:Special:EntityPage/P6305]]: 2023090410003653, Maeder all photos VRT ticket number ([[:toollabs:editgroups-commons/b/OR/91967532275|details]])","https://commons.wikimedia.org","https://commons.wikimedia.org/wiki/File:CH-KBAR - Ringkämpfer am Eid-e-Ramadan Fest - KB-017528.tif"
"Q23117009","VIGNERON","www.wikidata.org","false","/* wbeditentity-update-languages-short:0||nl */ QuickStatements 3.0 [[:toollabs:qs-dev/batch/4378|batch #4378]]","https://www.wikidata.org","https://www.wikidata.org/wiki/Q23117009"
"Q110983769","Looniverse","www.wikidata.org","false","/* wbsetreference-add:2| */ [[Property:P54]]: [[Q700366]], #quickstatements; #temporary_batch_1750579824290","https://www.wikidata.org","https://www.wikidata.org/wiki/Q110983769"
